,id,Date,mood,arousal,valence,activity,screentime (s),other (s),travel (s),weather (s),buu,coso,enga,fiof,teca
894,AS14.25,2014-04-24,6.0,-1.2,0.0,0.08576388888888888,9902.590000629423,122.70500000000001,629.148,41.297,2421.522,8134.411000000002,125.65400000000001,,7.0
895,AS14.25,2014-04-25,6.25,-0.25,-0.25,0.055208333333333325,7663.566999435428,96.91000000000001,,89.212,1773.2869999999996,3854.515999999999,2323.624,2.012,2.0
896,AS14.25,2014-04-26,7.0,0.5,1.0,0.17103565997282577,7433.59100008011,64.717,,,1286.2660000000003,6435.307,,,6.0
897,AS14.25,2014-04-27,7.4,0.0,0.8,0.02219573355936993,3357.7690005302425,103.794,,,547.011,2359.353999999999,245.61199999999997,197.427,1.0
898,AS14.25,2014-04-28,7.2,0.0,0.4,0.12131769374416436,13320.088998556137,473.03800000000007,45.408,28.181,2788.6469999999995,9640.751000000007,863.57,2.0069999999999997,16.0
899,AS14.25,2014-04-29,6.0,-1.2,-0.6,0.0829631542699724,10994.99999952316,289.26700000000005,14.915999999999999,17.795,2111.7290000000007,7908.752000000001,1126.619,,20.0
900,AS14.25,2014-04-30,6.2,0.8,-0.4,0.10852951516948042,13423.611998796465,250.05599999999995,143.37,5.067,8460.894000000002,7636.273999999998,283.01300000000003,,7.0
901,AS14.25,2014-05-01,7.0,-1.0,0.4,0.08712270720960565,11765.46499872208,248.20800000000003,208.069,15.079,1981.5770000000002,9128.467000000002,,178.414,20.0
902,AS14.25,2014-05-02,6.5,-0.75,0.0,0.13760964912280704,6310.169000387192,163.991,388.27299999999997,,2008.4419999999996,4573.519000000001,171.17,9.071,13.0
903,AS14.25,2014-05-03,6.4,-0.25,0.0,0.05925925925925921,11465.776000022892,115.803,,,3895.427999999999,7030.793000000001,416.486,31.148000000000003,3.0
904,AS14.25,2014-05-04,7.2,1.0,0.6,0.10376953970214159,8047.489998102188,266.04999999999995,1343.8169999999998,41.287,1206.3260000000002,3203.4250000000006,3693.83,,4.0
905,AS14.25,2014-05-05,6.666666666666667,-1.0,0.0,0.07168479421153216,7311.23100042343,36.412,,16.079,1496.49,5242.790000000004,197.199,276.685,9.0
906,AS14.25,2014-05-07,6.8,-0.4,0.0,0.07011424986542546,9918.56699943542,228.98600000000002,,6.024,1179.974,5419.953,3035.4919999999997,47.523,1.0
