Date;mood
30-04-14;7
30-04-14;6.8
30-04-14;5
30-04-14;666.666.666.666.667
30-04-14;7
30-04-14;6.25
30-04-14;783.333.333.333.333
30-04-14;7
30-04-14;6
30-04-14;7
30-04-14;7
30-04-14;7
30-04-14;7
30-04-14;9
30-04-14;633.333.333.333.333
30-04-14;6.2
30-04-14;6.2
30-04-14;6.6
30-04-14;6.2
30-04-14;7.8
30-04-14;7.8
30-04-14;7
30-04-14;7
30-04-14;6.4
01-05-14;8
01-05-14;7.2
01-05-14;6.8
01-05-14;8
01-05-14;5
01-05-14;7
01-05-14;7.5
01-05-14;6.2
01-05-14;833.333.333.333.333
01-05-14;6
01-05-14;6.6
01-05-14;7
01-05-14;8
01-05-14;6.8
01-05-14;7
01-05-14;7.4
01-05-14;7
01-05-14;6.8
01-05-14;7.6
01-05-14;6.4
01-05-14;7.6
01-05-14;8.2
01-05-14;7
01-05-14;7
01-05-14;7
02-05-14;7.6
02-05-14;7.6
02-05-14;7
02-05-14;7.2
02-05-14;6.2
02-05-14;7.2
02-05-14;7.6
02-05-14;5.5
02-05-14;8
02-05-14;666.666.666.666.667
02-05-14;7
02-05-14;8
02-05-14;7
02-05-14;7.8
02-05-14;7.2
02-05-14;7
02-05-14;6.5
02-05-14;7.2
02-05-14;7.2
02-05-14;6.8
02-05-14;8
02-05-14;7
02-05-14;7.25
03-05-14;8
03-05-14;7.75
03-05-14;6.75
03-05-14;6.25
03-05-14;566.666.666.666.667
03-05-14;7.4
03-05-14;7.75
03-05-14;5.6
03-05-14;7.25
03-05-14;6.8
03-05-14;6.8
03-05-14;7.25
03-05-14;7.4
03-05-14;6.75
03-05-14;683.333.333.333.333
03-05-14;6.4
03-05-14;7.8
03-05-14;6.4
03-05-14;7.4
03-05-14;8
03-05-14;7.8
03-05-14;7.4
03-05-14;7.5
04-05-14;8
04-05-14;7.4
04-05-14;7
04-05-14;7.6
04-05-14;8
04-05-14;6.8
04-05-14;6.6
04-05-14;4.8
04-05-14;8
04-05-14;6.8
04-05-14;7
04-05-14;7
04-05-14;6.6
04-05-14;733.333.333.333.333
04-05-14;7.5
04-05-14;7.2
04-05-14;7.4
04-05-14;7.4
04-05-14;6.8
04-05-14;8
04-05-14;7.8
04-05-14;7.2
04-05-14;866.666.666.666.667
04-05-14;833.333.333.333.333
05-05-14;7.25
05-05-14;633.333.333.333.333
05-05-14;7
05-05-14;5.5
05-05-14;666.666.666.666.667
05-05-14;6
05-05-14;6
05-05-14;7
05-05-14;7
05-05-14;733.333.333.333.333
05-05-14;7.5
05-05-14;7
05-05-14;7
05-05-14;6
05-05-14;666.666.666.666.667
05-05-14;6.5
05-05-14;766.666.666.666.667
05-05-14;7
05-05-14;733.333.333.333.333
05-05-14;8
05-05-14;7
05-05-14;7
05-05-14;7.25
07-05-14;766.666.666.666.667
07-05-14;6.75
07-05-14;7
07-05-14;7
07-05-14;6.8
07-05-14;6.8
07-05-14;7.8
07-05-14;633.333.333.333.333
07-05-14;7.8
07-05-14;6.75
07-05-14;6
07-05-14;5
08-05-14;7
08-05-14;7
08-05-14;7
08-05-14;7
08-05-14;6.6
08-05-14;7
08-05-14;6.5
08-05-14;7.8
08-05-14;7
08-05-14;6
08-05-14;6.6
09-05-14;7.4
09-05-14;6.8
09-05-14;6.4
09-05-14;7.4
09-05-14;7
09-05-14;7.75
09-05-14;4.8
10-05-14;7
10-05-14;8
10-05-14;6.6
10-05-14;7
10-05-14;733.333.333.333.333
10-05-14;7.25
10-05-14;7.6
11-05-14;7.25
11-05-14;6.2
11-05-14;7
11-05-14;7
11-05-14;7
11-05-14;7.2
11-05-14;6
12-05-14;7
12-05-14;6.4
12-05-14;7.8
12-05-14;7.6
12-05-14;7
12-05-14;7.2
12-05-14;6
13-05-14;7.5
13-05-14;7
13-05-14;6.8
13-05-14;8.2
13-05-14;7
13-05-14;5
14-05-14;5.2
14-05-14;6
14-05-14;7.5
14-05-14;7.6
14-05-14;7
14-05-14;683.333.333.333.333
15-05-14;6.4
15-05-14;6.4
15-05-14;7
15-05-14;6
15-05-14;7
15-05-14;6
16-05-14;7
16-05-14;7.4
16-05-14;7
17-05-14;7.6
17-05-14;7.4
17-05-14;6
18-05-14;7.2
18-05-14;7.2
18-05-14;6
19-05-14;7.4
19-05-14;7.4
19-05-14;6.2
20-05-14;7
20-05-14;7.6
20-05-14;6.25
21-05-14;6.2
21-05-14;7
21-05-14;6
22-05-14;6.6
22-05-14;6.6
22-05-14;5.75
23-05-14;6.8
23-05-14;6.2
23-05-14;583.333.333.333.333
24-05-14;7.2
24-05-14;7.6
24-05-14;6.4
25-05-14;7
25-05-14;8
25-05-14;6.25
26-05-14;7
26-05-14;7.2
26-05-14;5.4
27-05-14;6.2
27-05-14;5.8
27-05-14;6.2
28-05-14;6.6
28-05-14;5.4
28-05-14;8.2
29-05-14;7
29-05-14;7.4
29-05-14;7
30-05-14;7.4
30-05-14;6.4
30-05-14;6.8
31-05-14;7
31-05-14;7
01-06-14;683.333.333.333.333
02-06-14;6.75
03-06-14;7.8
04-06-14;7
05-06-14;7
06-06-14;7.5
07-06-14;8
08-06-14;6.5
